state,county,plant_count,generator_count,operable_nameplate_capacity_mw,operable_summer_capacity_mw,operable_winter_capacity_mw,dominant_primary_fuel_code
AR,Pulaski,12,22,663.6,609.1,608.9,SUN
AR,Saline,1,0,0,0,0,
AR,St Francis,6,2,2,2,2,SUN
AR,St. Francis,1,1,1,1,1,SUN
AR,Stone,1,1,4.3,4.3,4.3,WAT
AR,Union,2,13,2429.8,2038.8,2319.5,SUN
AR,Van Buren,1,1,1,1,1,SUN
AR,Washington,11,21,453.9,392.5,434.3,SUN
AR,White,4,5,208.8,208.8,208,SUN
AR,Woodruff,2,1,122,122,122,SUN
AZ,,1,0,0,0,0,
AZ,Apache,3,10,2604,2397.3,2397.3,SUB
AZ,Cochise,10,19,915.5,792.5,806,SUN
AZ,Coconino,12,12,2028.4,2028.4,2028.4,WND
AZ,GILA,1,1,20,20,20,SUN
AZ,Gila,1,0,0,0,0,
AZ,La Paz,12,4,52,52,52,WAT
AZ,Maricopa,82,176,19634.1,17655.1,18499.1,SUN
AZ,Mohave,16,35,3271,2934.3,2974.3,SUN
AZ,Navajo,7,7,636.5,585.6,585.6,WND
AZ,Pima,36,52,1084.4,991.2,1008.3,SUN
AZ,Pinal,26,51,4002.9,3488.1,3641.3,SUN
AZ,Santa Cruz,2,5,114,66.3,71.6,SUN
AZ,Yavapai,6,5,66.7,66.7,66.7,SUN
AZ,Yuma,16,31,1915.4,1799,1817.3,SUN
CA,Alameda,44,49,1342.6,1240.8,1271.2,NG
CA,Amador,7,8,210.3,214.5,214.5,WAT
CA,Butte,24,40,1175.7,1235.1,1250,WAT
CA,Calaveras,5,9,284.6,285.5,286.5,WAT
CA,Colusa,3,5,745.5,669.5,697.5,AB
CA,Contra Costa,44,61,4224.1,3841.1,3974.2,SUN
CA,El Dorado,15,25,779.1,746.7,746.7,WAT
CA,Fresno,117,157,5580.1,5606.3,5627.8,SUN
CA,Glenn,2,3,6.5,6.5,6.5,SUN
CA,Humboldt,9,19,238,228,228,WDS
CA,Imperial,83,115,4286,3958.8,4114.4,SUN
CA,Inyo,21,34,420.3,376.2,397.9,WAT
CA,KERN,1,1,20,20,20,SUN
CA,Kern,285,336,15793.3,15071.6,15289.2,SUN
CA,Kings,54,60,2539.2,2531.2,2537.7,SUN
CA,Lake,10,10,352.8,202.1,217,GEO
CA,Lassen,7,7,91.7,84.2,83.8,WDS
CA,Los Angeles,280,417,14013.6,13092.7,13192.9,SUN
CA,Madera,27,47,495.9,500.3,496.3,SUN
CA,Marin,3,6,8,8,8,SUN
CA,Mariposa,2,2,103.5,103.5,103.5,WAT
CA,Mendocino,4,5,12.9,12.7,12.7,WAT
CA,Merced,31,35,836.2,796.99,744.49,SUN
CA,Mono,9,16,186.8,155.7,184.1,WAT
CA,Monterey,26,44,2693.6,2279.1,2287.7,NG
CA,Napa,8,9,11.9,11.9,11.9,SUN
CA,Nevada,12,12,110.4,112.2,112.2,WAT
CA,Orange,51,92,1740.3,1668.3,1727,MWH
CA,Placer,23,41,772.2,742.6,764.5,WAT
CA,Plumas,13,17,610.5,604.8,604.8,WAT
CA,Riverside,137,202,10939.1,10796.7,10804.3,SUN
CA,Sacramento,64,75,1684.1,1661.5,1682.2,SUN
CA,San Benito,5,5,148.4,148.4,148.1,SUN
CA,San Bernardino,178,194,6304.2,6100.7,6143.6,SUN
CA,San Diego,119,149,4189,3784.1,3855,NG
CA,San Francisco,9,11,24,22.4,22.4,NG
CA,San Joaquin,41,43,1189.6,1119.7,1153.8,SUN
CA,San Luis Obispo,19,28,3463.3,3379.7,3379.6,SUN
CA,San Mateo,9,17,29,28,25.5,NG
CA,Santa Barbara,15,15,349,343.9,342.8,SUN
CA,Santa Clara,64,162,1779,1636.3,1670.7,NG
CA,Santa Cruz,4,9,14.4,14.3,14.2,LFG
CA,Shasta,43,63,2421.7,2426,2440,WAT
CA,Sierra,2,4,13.6,13.6,13.6,WAT
CA,Siskiyou,8,6,20.5,15.9,15.9,WAT
CA,Solano,38,47,1458,1438.6,1440,WND
CA,Sonoma,23,46,1443.7,819.9,855.8,SUN
CA,Stanislaus,23,45,1504.6,1387.36,1411.35,NG
CA,Sutter,8,11,904.5,787.4,807.4,NG
CA,Tehama,7,22,77.3,76.4,76.4,WAT
CA,Trinity,5,7,153.2,151.22,151.72,WAT
CA,Tulare,66,93,591.3,581.5,570.98,SUN
CA,Tuolumne,20,31,1143.5,1270.4,1242.9,WAT
CA,Ventura,25,28,2015.6,1892.7,1893.3,NG
CA,Yolo,14,17,61.4,56.9,55.7,SUN
CA,Yuba,5,6,367.2,412.6,412.7,WAT
CO,Adams,36,43,1767.1,1491,1558.7,SUN
CO,Alamosa,9,12,202.1,173.24,180.02,SUN
CO,Arapahoe,15,17,148.9,148.9,148.9,SUN
CO,Baca,3,6,8.2,8.2,8.2,DFO
CO,Bent,2,6,80.6,80.1,80.1,DFO
CO,Boulder,12,14,261,176.4,190.4,WAT
CO,Broomfield,1,1,7.8,7.8,7.8,MWH
CO,Chaffee,3,4,5.6,5.6,5.6,SUN
CO,Cheyenne,1,1,498.4,477.1,477.1,WND
CO,Clear Creek,2,4,301.2,341.6,341.2,WAT
CO,Conejos,2,2,2.7,2.7,2.7,SUN
CO,Crowley,1,1,2,2,2,SUN
CO,Delta,1,0,0,0,0,
CO,Denver,8,13,217.8,141.1,145.4,SUN
CO,Douglas,2,2,4.1,4.1,4.1,WAT
CO,Eagle,3,6,27.2,24.7,25.5,DFO
CO,El Paso,19,35,1948,1730.7,1772.6,SUN
CO,Elbert,2,1,600,582.3,582.3,WND
CO,Fremont,2,1,1.8,1.8,1.8,SUN
CO,Garfield,12,11,29.4,29.8,22.6,SUN
CO,Grand,3,4,5.7,5.7,4.7,WAT
CO,Gunnison,2,2,86.4,86.4,86.4,WAT
CO,Huerfano,4,7,157.2,157.2,157.2,WND
CO,Jackson,1,1,1,1,1,SUN
CO,Jefferson,6,41,277.3,273.02,273.92,NG
CO,Kit Carson,7,7,934.4,903,923,WND
CO,La Plata,4,7,18.2,18.2,18.2,WAT
CO,Lake,2,3,202.5,232.5,232.5,WAT
CO,Larimer,12,23,1052.7,928.8,925.9,WAT
CO,Las Animas,4,7,179.2,179.2,179.2,SUN
CO,Lincoln,5,6,1006.8,986.6,1002.6,WND
CO,Logan,18,20,1047.9,1047.3,1047.3,SUN
CO,Mesa,12,10,56.1,42.5,47.5,SUN
CO,Moffat,3,4,1431.6,1289,1289,SUB
CO,Montezuma,9,5,21.8,21.8,20.9,SUN
CO,Montrose,10,10,227.5,233.8,224.7,WAT
CO,Morgan,10,15,1135.2,1031.5,1076.5,SUN
CO,Otero,2,6,11.5,11.5,11.5,SUN
CO,Ouray,1,2,8,8,0.9,WAT
CO,Park,1,1,5.5,5.5,5.5,WAT
CO,Pitkin,2,1,5,5,5,SUN
CO,Prowers,4,9,247.9,247.2,247.4,WND
CO,Pueblo,18,33,3094.9,2888.72,2901.37,SUN
