station_id,state,state_name,station_name,place_name,latitude,longitude,coordinate_source,geometry_precision,monitoring_year_start,monitoring_year_end,years_with_data_count,approved_sample_count,approved_dose_reading_count,dose_equivalent_rate_avg_nsvh,dose_equivalent_rate_p95_nsvh,dose_equivalent_rate_max_nsvh,gamma_count_rate_total_avg_cpm,background_radiation_band,dominant_radiation_profile,source_dataset,location_name,total_sample_count,first_sample_at_utc,last_sample_at_utc,dose_equivalent_rate_min_nsvh,dose_equivalent_rate_median_nsvh,archive_zip_file,archive_zip_url,r02_avg_cpm,r03_avg_cpm,r04_avg_cpm,r05_avg_cpm,r06_avg_cpm,r07_avg_cpm,r08_avg_cpm,r09_avg_cpm
radnet-mn-duluth,MN,Minnesota,Duluth,Duluth,46.774458,-92.134135,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,135010,18090,57.16,63,138,3303.31,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,MN: DULUTH,135010,2008-08-19T21:13:00+00:00,2025-12-31T23:16:00+00:00,39,57,data\raw\radiation\epa_radnet\zips\mn_duluth_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/mn_duluth_2025-2008.zip,1628.63,964.29,275.34,145.92,89.04,112.04,65.64,22.41
radnet-mn-st-paul,MN,Minnesota,St. Paul,St. Paul,44.948901,-93.104063,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,140658,50255,46.74,68,137,3579.28,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,MN: ST. PAUL,140658,2006-09-21T23:21:00+00:00,2025-12-31T23:48:00+00:00,36,44,data\raw\radiation\epa_radnet\zips\mn_st-paul_2025-2006.zip,https://www.epa.gov/system/files/other-files/2026-02/mn_st-paul_2025-2006.zip,1762.15,1010.31,301.32,167.3,105.79,125.97,73.1,33.35
radnet-mo-jefferson_city,MO,Missouri,Jefferson City,Jefferson City,38.567461,-92.175254,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,17,121107,34946,43.51,56,179,3187.87,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,MO: JEFFERSON CITY,121107,2008-09-05T14:45:00+00:00,2025-12-31T23:00:00+00:00,0,41,data\raw\radiation\epa_radnet\zips\mo_jefferson_city_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/mo_jefferson_city_2025-2008.zip,1625.88,878.08,246.39,144.76,86.43,110.36,69.78,26.38
radnet-mo-springfield,MO,Missouri,Springfield,Springfield,37.194157,-93.292642,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2010,2025,16,126525,482,37.96,42,46,2841.18,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,MO: SPRINGFIELD,126525,2010-01-01T00:52:00+00:00,2025-12-31T23:36:00+00:00,32,38,data\raw\radiation\epa_radnet\zips\mo_springfield_2025-2010.zip,https://www.epa.gov/system/files/other-files/2026-02/mo_springfield_2025-2010.zip,1337.76,842.79,250.71,137.85,80.7,106.5,59.1,25.87
radnet-mo-st-louis,MO,Missouri,St. Louis,St. Louis,38.635699,-90.244582,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,18,99537,50277,47.36,55,178,3198.42,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,MO: ST. LOUIS,99537,2007-01-05T14:50:00+00:00,2025-12-31T23:24:00+00:00,34,47,data\raw\radiation\epa_radnet\zips\mo_st-louis_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/mo_st-louis_2025-2007.zip,1638.83,843.55,247.32,143.68,91,116.04,73.52,44.52
radnet-ms-jackson,MS,Mississippi,Jackson,Jackson,32.315834,-90.21285,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,111936,24207,38.26,42,113,3173.85,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,MS: JACKSON,111936,2008-09-19T16:33:00+00:00,2025-12-31T23:10:00+00:00,0,38,data\raw\radiation\epa_radnet\zips\ms_jackson_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/ms_jackson_2025-2008.zip,1825.6,816.86,206.69,110.68,62.44,73.45,50.24,28.71
radnet-mt-billings,MT,Montana,Billings,Billings,45.788538,-108.552475,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,120096,13903,70.77,81,202,6959.89,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,MT: BILLINGS,120096,2009-07-24T18:48:00+00:00,2025-12-31T23:52:00+00:00,58,69,data\raw\radiation\epa_radnet\zips\mt_billings_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/mt_billings_2025-2009.zip,3131.59,2123.94,689.65,379.2,224.51,235.99,125.05,50.11
radnet-mt-kalispell,MT,Montana,Kalispell,Kalispell,48.216152,-114.327645,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2017,2025,9,68820,61915,84.34,100,252,5557.29,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,MT: KALISPELL,68820,2017-02-01T16:03:00+00:00,2025-12-31T23:54:00+00:00,0,83,data\raw\radiation\epa_radnet\zips\mt_kalispell_2025-2017.zip,https://www.epa.gov/system/files/other-files/2026-02/mt_kalispell_2025-2017.zip,2698.36,1607.34,467.14,252.42,157.63,198.02,124.67,51.71
radnet-nc-charlotte,NC,North Carolina,Charlotte,Charlotte,35.209045,-80.83099,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,131591,44795,37.7,41,91,3360.7,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NC: CHARLOTTE,131591,2007-05-21T22:02:00+00:00,2025-12-31T23:31:00+00:00,0,37,data\raw\radiation\epa_radnet\zips\nc_charlotte_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/nc_charlotte_2025-2007.zip,1665.89,944.47,271.04,152.4,98.38,117.43,72.97,38.13
radnet-nc-greensboro,NC,North Carolina,Greensboro,Greensboro,36.09485,-79.823624,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2013,2025,13,81083,19451,63.77,69,114,3370.2,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NC: GREENSBORO,81083,2013-02-14T21:52:00+00:00,2025-12-31T23:15:00+00:00,0,63,data\raw\radiation\epa_radnet\zips\nc_greensboro_2025-2013.zip,https://www.epa.gov/system/files/other-files/2026-02/nc_greensboro_2025-2013.zip,1665.81,967.21,273.62,149.63,92.57,113.08,77.11,31.17
radnet-nc-raleigh,NC,North Carolina,Raleigh,Raleigh,35.831868,-78.641042,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,110422,1279,101.38,112,149,8996.29,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NC: RALEIGH,110422,2009-02-26T11:27:00+00:00,2025-12-31T23:03:00+00:00,5,102,data\raw\radiation\epa_radnet\zips\nc_raleigh_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/nc_raleigh_2025-2009.zip,4549.97,2559.15,722.38,383.24,251.27,296.51,175.38,58.38
radnet-nc-wilmington,NC,North Carolina,Wilmington,Wilmington,34.209225,-77.885767,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,129793,45003,45,84,115,3510.82,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NC: WILMINGTON,129793,2009-04-21T14:15:00+00:00,2025-12-31T23:59:00+00:00,28,37,data\raw\radiation\epa_radnet\zips\nc_wilmington_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/nc_wilmington_2025-2009.zip,1721.99,1060.32,329.75,151.54,82.36,90.04,50.61,24.24
