station_id,state,state_name,station_name,place_name,latitude,longitude,coordinate_source,geometry_precision,monitoring_year_start,monitoring_year_end,years_with_data_count,approved_sample_count,approved_dose_reading_count,dose_equivalent_rate_avg_nsvh,dose_equivalent_rate_p95_nsvh,dose_equivalent_rate_max_nsvh,gamma_count_rate_total_avg_cpm,background_radiation_band,dominant_radiation_profile,source_dataset,location_name,total_sample_count,first_sample_at_utc,last_sample_at_utc,dose_equivalent_rate_min_nsvh,dose_equivalent_rate_median_nsvh,archive_zip_file,archive_zip_url,r02_avg_cpm,r03_avg_cpm,r04_avg_cpm,r05_avg_cpm,r06_avg_cpm,r07_avg_cpm,r08_avg_cpm,r09_avg_cpm
radnet-nv-reno,NV,Nevada,Reno,Reno,39.549097,-119.849907,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,130376,,,,,5480.07,Dose unavailable,Gamma count-only monitor,EPA RadNet near-real-time air monitor archives,NV: RENO,130376,2009-03-19T12:27:00+00:00,2025-12-31T23:26:00+00:00,,,data\raw\radiation\epa_radnet\zips\nv_reno_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/nv_reno_2025-2009.zip,2759.71,1593.88,452.53,235.16,140.64,165.9,96,36.8
radnet-ny-albany,NY,New York,Albany,Albany,42.665745,-73.798353,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,132115,58703,43.84,50,152,3340.33,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NY: ALBANY,132115,2009-02-05T17:29:00+00:00,2025-10-21T18:48:00+00:00,35,43,data\raw\radiation\epa_radnet\zips\ny_albany_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/ny_albany_2025-2009.zip,1630.63,941.22,282.51,152.85,94.79,120.62,78.08,39.66
radnet-ny-lockport,NY,New York,Lockport,Lockport,43.16946,-78.695807,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,144908,4247,45.51,52,128,4382.5,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NY: LOCKPORT,144908,2007-09-05T18:26:00+00:00,2025-12-31T23:51:00+00:00,37,45,data\raw\radiation\epa_radnet\zips\ny_lockport_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/ny_lockport_2025-2007.zip,2266.63,1179.18,353.01,188.44,120.55,143.48,88.75,42.47
radnet-ny-new_york_city,NY,New York,New York,New York,40.662712,-73.938677,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,133695,67304,62.33,82,166,5013.66,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NY: NEW YORK CITY,133695,2006-06-09T19:57:00+00:00,2025-12-31T23:26:00+00:00,52,60,data\raw\radiation\epa_radnet\zips\ny_new_york_city_2025-2006.zip,https://www.epa.gov/system/files/other-files/2026-02/ny_new_york_city_2025-2006.zip,2282.62,1326.61,382.51,201.18,135.68,186.04,416.4,82.68
radnet-ny-rochester,NY,New York,Rochester,Rochester,43.169927,-77.616891,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,122179,62323,74.9,108,168,5112.82,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NY: ROCHESTER,122179,2008-11-06T17:32:00+00:00,2025-12-31T23:46:00+00:00,0,69,data\raw\radiation\epa_radnet\zips\ny_rochester_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/ny_rochester_2025-2008.zip,2776.55,1584.25,448.8,224.04,134.44,160.54,96.53,39.14
radnet-ny-syracuse,NY,New York,Syracuse,Syracuse,43.040998,-76.143554,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,85276,50154,42.86,49,126,2659.15,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NY: SYRACUSE,85276,2009-08-25T16:52:00+00:00,2025-12-30T02:52:00+00:00,0,43,data\raw\radiation\epa_radnet\zips\ny_syracuse_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/ny_syracuse_2025-2009.zip,1350.01,738.42,212.18,110.05,67.24,88.02,59.06,34.18
radnet-ny-yaphank,NY,New York,Yaphank,Yaphank,40.83101,-72.93165,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,112458,68180,40.94,48,108,3071.5,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,NY: YAPHANK,112458,2008-04-29T23:07:00+00:00,2025-12-31T23:46:00+00:00,7,40,data\raw\radiation\epa_radnet\zips\ny_yaphank_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/ny_yaphank_2025-2008.zip,1579.45,865.07,248.75,124.68,77.8,89.76,56.77,29.22
radnet-oh-cincinnati,OH,Ohio,Cincinnati,Cincinnati,39.140183,-84.505829,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,147918,62988,42.22,70,148,3262.88,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,OH: CINCINNATI,147918,2007-07-17T19:11:00+00:00,2025-12-31T23:42:00+00:00,0,38,data\raw\radiation\epa_radnet\zips\oh_cincinnati_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/oh_cincinnati_2025-2007.zip,1613.53,937.62,280.41,147.79,81.75,100.62,65.36,35.81
radnet-oh-cleveland,OH,Ohio,Cleveland,Cleveland,41.478462,-81.679435,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,146139,31636,45.89,60,122,4166.2,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,OH: CLEVELAND,146139,2006-12-12T17:03:00+00:00,2025-12-31T23:56:00+00:00,0,42,data\raw\radiation\epa_radnet\zips\oh_cleveland_2025-2006.zip,https://www.epa.gov/system/files/other-files/2026-02/oh_cleveland_2025-2006.zip,2139.98,1129.77,331.23,185.5,115.43,136.43,81,46.89
radnet-oh-columbus,OH,Ohio,Columbus,Columbus,39.983938,-82.984882,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,128657,7993,51.26,70,99,3935.32,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,OH: COLUMBUS,128657,2007-07-18T20:10:00+00:00,2025-12-31T23:12:00+00:00,38,45,data\raw\radiation\epa_radnet\zips\oh_columbus_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/oh_columbus_2025-2007.zip,1936.11,1130.17,329.16,187.58,109.37,132.38,77.47,33.11
radnet-oh-toledo,OH,Ohio,Toledo,Toledo,41.664071,-83.581861,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2010,2025,16,128271,27554,37.22,44,120,2481.84,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,OH: TOLEDO,128271,2010-03-17T16:14:00+00:00,2025-12-31T23:16:00+00:00,28,36,data\raw\radiation\epa_radnet\zips\oh_toledo_2025-2010.zip,https://www.epa.gov/system/files/other-files/2026-02/oh_toledo_2025-2010.zip,1267.65,712.41,196.08,103.2,57.53,75.32,44.95,24.69
radnet-ok-oklahoma_city,OK,Oklahoma,Oklahoma City,Oklahoma City,35.467079,-97.513657,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,138915,50216,67.08,73,149,5659.39,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,OK: OKLAHOMA CITY,138915,2007-07-16T06:36:00+00:00,2025-12-31T23:38:00+00:00,57,67,data\raw\radiation\epa_radnet\zips\ok_oklahoma_city_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/ok_oklahoma_city_2025-2007.zip,2710.67,1675.14,490.1,264.21,165.31,191.08,115.99,46.87
radnet-ok-tulsa,OK,Oklahoma,Tulsa,Tulsa,36.127949,-95.902316,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,132341,10226,55.91,64,198,4481.59,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,OK: TULSA,132341,2008-07-30T18:07:00+00:00,2025-12-31T23:30:00+00:00,43,55,data\raw\radiation\epa_radnet\zips\ok_tulsa_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/ok_tulsa_2025-2008.zip,2173.28,1285.04,380.31,209.69,125.25,159.13,97.6,51.33
radnet-or-corvallis,OR,Oregon,Corvallis,Corvallis,44.569949,-123.278285,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,122355,23102,40.31,44,84,3555.72,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,OR: CORVALLIS,122355,2008-07-25T19:28:00+00:00,2025-12-31T23:44:00+00:00,0,40,data\raw\radiation\epa_radnet\zips\or_corvallis_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/or_corvallis_2025-2008.zip,1754.73,1011.47,294.92,161.98,100,124.54,77.2,30.89
radnet-or-portland,OR,Oregon,Portland,Portland,45.536951,-122.649971,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,125563,27102,45.48,51,77,4159.35,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,OR: PORTLAND,125563,2007-03-07T19:50:00+00:00,2025-12-31T23:29:00+00:00,37,45,data\raw\radiation\epa_radnet\zips\or_portland_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/or_portland_2025-2007.zip,2087.38,1121.64,342.62,192.24,128.53,152.26,95.75,38.93
radnet-pa-bloomsburg,PA,Pennsylvania,Bloomsburg,Bloomsburg,41.002717,-76.45658,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2012,2025,14,104724,,,,,3405.87,Dose unavailable,Gamma count-only monitor,EPA RadNet near-real-time air monitor archives,PA: BLOOMSBURG,104724,2012-10-16T14:09:00+00:00,2025-12-31T23:39:00+00:00,,,data\raw\radiation\epa_radnet\zips\pa_bloomsburg_2025-2012.zip,https://www.epa.gov/system/files/other-files/2026-02/pa_bloomsburg_2025-2012.zip,1703.85,985.02,294.61,148.37,83.89,99.51,57.55,33.09
radnet-pa-philadelphia,PA,Pennsylvania,Philadelphia,Philadelphia,40.009376,-75.133346,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,19,122168,52098,50.22,69,101,3798.04,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,PA: PHILADELPHIA,122168,2006-07-24T17:46:00+00:00,2025-12-31T23:48:00+00:00,0,49,data\raw\radiation\epa_radnet\zips\pa_philadelphia_2025-2006.zip,https://www.epa.gov/system/files/other-files/2026-02/pa_philadelphia_2025-2006.zip,1991.93,1018.05,286.98,154.21,98.84,119.89,80.75,47.4
radnet-pa-pittsburgh,PA,Pennsylvania,Pittsburgh,Pittsburgh,40.439936,-79.975676,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,148495,43829,66.46,99,190,5164.42,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,PA: PITTSBURGH,148495,2006-12-21T14:57:00+00:00,2025-12-31T23:03:00+00:00,48,62,data\raw\radiation\epa_radnet\zips\pa_pittsburgh_2025-2006.zip,https://www.epa.gov/system/files/other-files/2026-02/pa_pittsburgh_2025-2006.zip,2479.88,1477.56,435.21,254.63,158.71,184.49,117.08,56.85
radnet-pr-san_juan,PR,Puerto Rico,San Juan,San Juan,18.404559,-66.063746,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2011,2025,15,91934,11631,25.93,28,52,1468.78,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,PR: SAN JUAN,91934,2011-03-02T20:16:00+00:00,2025-12-31T23:14:00+00:00,23,26,data\raw\radiation\epa_radnet\zips\pr_san_juan_2025-2011.zip,https://www.epa.gov/system/files/other-files/2026-02/pr_san_juan_2025-2011.zip,675.24,414.66,137.77,73.68,48.19,63.9,37.4,17.92
radnet-ri-providence,RI,Rhode Island,Providence,Providence,41.823056,-71.418784,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,20,85230,8,0,0,0,5712.69,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,RI: PROVIDENCE,85230,2006-12-01T19:10:00+00:00,2025-12-31T23:37:00+00:00,0,0,data\raw\radiation\epa_radnet\zips\ri_providence_2025-2006.zip,https://www.epa.gov/system/files/other-files/2026-02/ri_providence_2025-2006.zip,2973.97,1533.79,455.2,250.32,173.85,191.67,99.76,34.12
radnet-sc-columbia,SC,South Carolina,Columbia,Columbia,34.040519,-80.906099,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2014,2025,12,87235,18778,57.56,62,142,5233.36,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,SC: COLUMBIA,87235,2014-08-08T14:13:00+00:00,2025-12-31T23:01:00+00:00,49,57,data\raw\radiation\epa_radnet\zips\sc_columbia_2025-2014.zip,https://www.epa.gov/system/files/other-files/2026-02/sc_columbia_2025-2014.zip,2696.43,1490.08,417.43,207.37,127.61,139.51,97.55,57.39
radnet-sd-pierre,SD,South Dakota,Pierre,Pierre,44.375163,-100.319996,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,134205,61366,60.16,72,230,5475.84,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,SD: PIERRE,134205,2008-10-23T18:59:00+00:00,2025-12-31T23:34:00+00:00,0,58,data\raw\radiation\epa_radnet\zips\sd_pierre_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/sd_pierre_2025-2008.zip,2710.7,1630.89,446.4,241.44,135.48,170.7,102.52,37.79
radnet-sd-rapid_city,SD,South Dakota,Rapid City,Rapid City,44.071071,-103.217924,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,16,114496,35559,77.5,112,323,4804.66,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,SD: RAPID CITY,114496,2009-05-07T11:17:00+00:00,2025-12-31T23:14:00+00:00,0,72,data\raw\radiation\epa_radnet\zips\sd_rapid_city_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/sd_rapid_city_2025-2008.zip,2278.49,1439.52,419.89,225.71,137.43,174.15,93.65,35.84
radnet-tn-knoxville,TN,Tennessee,Knoxville,Knoxville,35.97068,-83.94927,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2012,2025,14,99208,12309,47.12,52,104,3948.58,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TN: KNOXVILLE,99208,2012-01-01T00:29:00+00:00,2025-12-31T23:23:00+00:00,40,47,data\raw\radiation\epa_radnet\zips\tn_knoxville_2025-2012.zip,https://www.epa.gov/system/files/other-files/2026-02/tn_knoxville_2025-2012.zip,1896.89,1161.45,331.35,181.63,106.73,130.98,89.33,50.23
radnet-tn-memphis,TN,Tennessee,Memphis,Memphis,35.109164,-89.968511,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,19,129865,47997,59.38,74,143,4563.43,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TN: MEMPHIS,129865,2006-08-20T19:05:00+00:00,2025-12-31T23:53:00+00:00,46,58,data\raw\radiation\epa_radnet\zips\tn_memphis_2025-2006.zip,https://www.epa.gov/system/files/other-files/2026-02/tn_memphis_2025-2006.zip,2268.59,1259.79,384.06,215.15,140.14,156.87,94.58,44.26
radnet-tn-nashville,TN,Tennessee,Nashville-Davidson,Nashville-Davidson,36.1718,-86.785002,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,119632,49860,37.73,60,123,2756.01,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TN: NASHVILLE,119632,2007-07-26T20:42:00+00:00,2025-12-31T23:55:00+00:00,29,34,data\raw\radiation\epa_radnet\zips\tn_nashville_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/tn_nashville_2025-2007.zip,1299.32,805.57,237.39,135.01,78.54,101.96,69.74,28.49
radnet-tx-amarillo,TX,Texas,Amarillo,Amarillo,35.198064,-101.833107,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,94672,19798,67.12,75,180,4472.2,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: AMARILLO,94672,2009-08-13T22:14:00+00:00,2025-06-16T17:01:00+00:00,56,66,data\raw\radiation\epa_radnet\zips\tx_amarillo_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_amarillo_2025-2009.zip,2171.69,1320.3,374.61,206.28,119.61,145.69,90.79,43.45
radnet-tx-austin,TX,Texas,Austin,Austin,30.298622,-97.754134,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,113509,58466,44.87,59,236,3242.06,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: AUSTIN,113509,2007-07-10T18:58:00+00:00,2025-12-31T23:45:00+00:00,0,43,data\raw\radiation\epa_radnet\zips\tx_austin_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_austin_2025-2007.zip,1592.2,909.77,262.63,149.63,95.66,116.55,77.33,38.33
radnet-tx-corpus_christi,TX,Texas,Corpus Christi,Corpus Christi,27.754252,-97.173385,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,14,73146,32425,52.36,61,100,4352.19,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: CORPUS CHRISTI,73146,2009-03-19T19:32:00+00:00,2025-12-31T23:49:00+00:00,42,51,data\raw\radiation\epa_radnet\zips\tx_corpus_christi_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_corpus_christi_2025-2009.zip,2072.5,1292.11,384.12,198.2,123.22,145.75,92.48,44.02
radnet-tx-dallas,TX,Texas,Dallas,Dallas,32.793333,-96.766513,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,140488,67291,40.06,45,111,3213.88,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: DALLAS,140488,2007-07-11T21:15:00+00:00,2025-02-26T23:28:00+00:00,33,39,data\raw\radiation\epa_radnet\zips\tx_dallas_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_dallas_2025-2007.zip,1584.64,891.66,263.16,145.54,90.24,110.27,86.03,42.44
radnet-tx-el_paso,TX,Texas,El Paso,El Paso,31.84778,-106.431106,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,116175,34999,79.42,91,209,5229.95,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: EL PASO,116175,2008-12-24T10:24:00+00:00,2025-12-31T23:22:00+00:00,66,77,data\raw\radiation\epa_radnet\zips\tx_el_paso_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_el_paso_2025-2008.zip,2418.35,1551.41,456.8,254.59,162.34,201.95,130.59,54.21
radnet-tx-fort_worth,TX,Texas,Fort Worth,Fort Worth,32.781954,-97.348573,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,18,123673,34422,53.86,76,180,4129.21,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: FORT WORTH,123673,2007-03-12T20:21:00+00:00,2025-12-28T00:47:00+00:00,0,50,data\raw\radiation\epa_radnet\zips\tx_fort_worth_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_fort_worth_2025-2007.zip,1988.03,1201.83,356.04,195.46,116.8,136.85,86.84,47.42
radnet-tx-harlingen,TX,Texas,Harlingen,Harlingen,26.191204,-97.697383,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,88633,71,0,0,0,3828.68,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: HARLINGEN,88633,2009-10-29T14:16:00+00:00,2025-12-31T23:02:00+00:00,0,0,data\raw\radiation\epa_radnet\zips\tx_harlingen_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_harlingen_2025-2009.zip,1904.34,1131.3,319.48,164.17,96.13,113.65,70.23,29.39
radnet-tx-houston,TX,Texas,Houston,Houston,29.785743,-95.388806,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,146100,68821,40.3,49,129,3524.75,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: HOUSTON,146100,2007-03-14T18:49:00+00:00,2025-12-31T23:57:00+00:00,0,39,data\raw\radiation\epa_radnet\zips\tx_houston_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_houston_2025-2007.zip,1587.05,894.8,261.57,138.73,89.93,128.7,361.23,62.73
radnet-tx-laredo,TX,Texas,Laredo,Laredo,27.560379,-99.489181,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,67918,12897,49.18,59,157,5030.59,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: LAREDO,67918,2009-06-26T19:56:00+00:00,2025-12-11T02:07:00+00:00,40,48,data\raw\radiation\epa_radnet\zips\tx_laredo_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_laredo_2025-2009.zip,2547.88,1485.95,414.13,201.47,114.95,136.71,87.83,42.12
radnet-tx-lubbock,TX,Texas,Lubbock,Lubbock,33.561901,-101.888883,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2010,2025,16,110525,41105,56.07,68,170,3717.91,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: LUBBOCK,110525,2010-09-01T15:41:00+00:00,2025-12-31T23:59:00+00:00,0,54,data\raw\radiation\epa_radnet\zips\tx_lubbock_2025-2010.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_lubbock_2025-2010.zip,1712.62,1135.26,320.44,185.75,106,131.21,85.64,41
radnet-tx-san_angelo,TX,Texas,San Angelo,San Angelo,31.441078,-100.450499,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,124751,29831,50.61,70,176,3651.67,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: SAN ANGELO,124751,2009-09-01T17:51:00+00:00,2025-09-24T09:38:00+00:00,41,48,data\raw\radiation\epa_radnet\zips\tx_san_angelo_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_san_angelo_2025-2009.zip,1736.58,1100.94,322.87,171.47,97.53,114.85,71.1,36.33
radnet-tx-san_antonio,TX,Texas,San Antonio,San Antonio,29.462809,-98.524635,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,131261,68879,37.83,43,197,2784.18,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,TX: SAN ANTONIO,131261,2008-02-25T22:54:00+00:00,2025-06-21T23:51:00+00:00,0,37,data\raw\radiation\epa_radnet\zips\tx_san_antonio_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/tx_san_antonio_2025-2008.zip,1348.05,787.89,225.6,131.34,78.06,101.85,76.79,34.7
radnet-ut-salt_lake_city,UT,Utah,Salt Lake City,Salt Lake City,40.776928,-111.930991,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,126681,51104,65.57,83,171,4013.7,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,UT: SALT LAKE CITY,126681,2007-01-09T23:47:00+00:00,2025-12-31T23:10:00+00:00,0,63,data\raw\radiation\epa_radnet\zips\ut_salt_lake_city_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/ut_salt_lake_city_2025-2007.zip,1953.41,1150.89,338.94,191.77,118.04,136.93,86.27,37.62
radnet-ut-st-george,UT,Utah,St. George,St. George,37.077006,-113.576534,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2012,2025,14,83982,69,0,0,0,5874.89,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,UT: ST. GEORGE,83982,2012-08-16T12:33:00+00:00,2025-12-31T23:24:00+00:00,0,0,data\raw\radiation\epa_radnet\zips\ut_st-george_2025-2012.zip,https://www.epa.gov/system/files/other-files/2026-02/ut_st-george_2025-2012.zip,2759.97,1749.78,522.96,277.1,180.36,205.86,128.53,50.38
radnet-va-harrisonburg,VA,Virginia,Harrisonburg,Harrisonburg,38.436255,-78.873303,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,130056,37703,54.21,61,150,4809.04,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,VA: HARRISONBURG,130056,2008-11-25T18:58:00+00:00,2025-12-31T23:02:00+00:00,0,54,data\raw\radiation\epa_radnet\zips\va_harrisonburg_2025-2008.zip,https://www.epa.gov/system/files/other-files/2026-02/va_harrisonburg_2025-2008.zip,2176.27,1445.91,459.74,257.25,148.93,167.7,101.79,51.47
radnet-va-richmond,VA,Virginia,Richmond,Richmond,37.531399,-77.476009,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,138712,53468,61.07,103,170,4128.83,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,VA: RICHMOND,138712,2007-05-24T05:42:00+00:00,2025-12-31T23:40:00+00:00,0,52,data\raw\radiation\epa_radnet\zips\va_richmond_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/va_richmond_2025-2007.zip,2044.75,1215.72,334.61,178.7,106.94,126.49,79.39,42.23
radnet-va-virginia_beach,VA,Virginia,Virginia Beach,Virginia Beach,36.779525,-76.029142,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,140766,12297,53.74,58,108,5074.37,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,VA: VIRGINIA BEACH,140766,2007-05-25T17:25:00+00:00,2025-12-31T23:39:00+00:00,44,53,data\raw\radiation\epa_radnet\zips\va_virginia_beach_2025-2007.zip,https://www.epa.gov/system/files/other-files/2026-02/va_virginia_beach_2025-2007.zip,2690.86,1369.44,385.98,199.38,133.83,156.27,94.26,44.35
radnet-vt-burlington,VT,Vermont,Burlington,Burlington,44.491927,-73.238882,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,16,101660,60681,43.4,51,125,3418.88,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives,VT: BURLINGTON,101660,2009-12-16T09:21:00+00:00,2025-12-31T23:18:00+00:00,12,45,data\raw\radiation\epa_radnet\zips\vt_burlington_2025-2009.zip,https://www.epa.gov/system/files/other-files/2026-02/vt_burlington_2025-2009.zip,1658.04,986.75,287.66,153.05,99.06,121.54,76.76,36.17
