field_name,form_eia-860_schedule,form_eia-860_line_number,description,notes,utility,plant,generator___operable,generator___proposed,generator___retired_and_canceled,wind___operable,wind___retired_and_canceled,solar___operable,solar___retired_and_canceled,energy_storage___operable,energy_storage___proposed,energy_storage___retired_and_canceled,multifuel___operable,multifuel___proposed,multifuel___retired_and_canceled,ownership,enviroassoc___boiler_generator,enviroassoc___boiler_cooling,enviroassoc___boiler_particulate_matter,enviroassoc___boiler_so2,enviroassoc___boiler_nox,enviroassoc___boiler_mercury,enviroassoc___boiler_stack_flue,enviroassoc___emissions_control_equipment,enviroequip___emission_standards_&_strategies,enviroequip___boiler_info_&_design_parameters,enviroequip___cooling,enviroequip___fgp,enviroequip___fgd,enviroequip___stackflue
Fuel Switching Limiting Factors?,3B,53a,Indicates whether there are factors that limit the generator's ability to switch between oil and natural gas,Yes / No,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
Storage Limits?,3B,53b,Indicates whether limited on-site fuel storage is a factor that limits the generator's ability to switch between oil and natural gas,Yes / No,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
Air Permit Limits?,3B,53b,Indicates whether aire permit limits are a factor that limits the generator's ability to switch between oil and natural gas,Yes / No,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
Other Limits?,3B,53b,Indicates whether there are other factor that limits the generator's ability to switch between oil and natural gas,Yes / No,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,
Owner Name,4,,Name of owner,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Owner Street Address,4,,Steet address of owner,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Owner City,4,,City of owner,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Owner State,4,,State for owner,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Owner Zip,4,,Zip code of owner,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Ownership ID,4,,EIA-assigned owner's identification number,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Percent Owned,4,,Percent of generator ownership,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Boiler ID,6A,1-1,Boiler identification number,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,x,x,,,,
Cooling ID,6A,1-3,Cooling system identification number,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,
Particulate Matter Control ID,6A,1-4,Particulate matter control identification number,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,
SO2 Control ID,6A,1-5,Sulfur dioxide control identification number,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,
NOx Control ID,6A,1-6,Nitrogen oxide control identification number,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,
Mercury Control ID,6A,1-7,Mercury control identification number,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,
Stack / Flue ID,6A,1-8,Stack or flue identification number,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x
Equipment Type,6A,2(A),Type of emissions control equipment,See Reference Table 7,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Acid Gas Control?,6A,2(F),Indicates whether the emissions control equipment controls acid (HCl) gas,Yes / No,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Status,6A,2(G),The operating status of the emissions control equipment,See Reference Table 8,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Inservice Month,6A,2(H),Month the emisions control equipment began commercial operation,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Inservice Year,6A,2(H),Year the emisions control equipment began commercial operation,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Retirement Month,6A,2(I),Month the emisions control equipment retired,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Retirement Year,6A,2(I),Year the emisions control equipment retired,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Total Cost (Thousand Dollars),6A,2(J),The nominal installed cost for the existing emissions control equipment or the anticipated cost to bring the planned piece of emissions control equipment into commercial operation,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Type of Boiler,6B,2a,Indicates the standards under which the boiler is operating as described in the U.S. Environmental Protection Agency regulation under 40 CFR,See Reference Table 9,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,
New Source Review,6B,2b,Indicates whether the boiler is subject to New Source Review requirements,Yes / No,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
New Source Review Permit,6B,2c,New Source Review permit number,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
New Source Review Month,6B,2c,Month of issued New Source Review permit,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
New Source Review Year,6B,2c,Year of issued New Source Review permit,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Regulation Sulfur,6B,3a,Most stringent type of statute or regulation code under which the boiler is operating for sulfur dioxide control standards,FD = Federal ST = State LO = Local NA = Unvavailable or Unknown,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Standard Sulfur Rate,6B,3b,Numeric value for the unit of measurement specified by the most stringent sulfur dioxide regulation,"Unit of measurement specified by field ""Unit Sulfur""",,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Standard Sulfur Percent Scrubbed,6B,3c,The percent of sulfur dioxide to be scrubbed specified by the most stringent sulfur dioxide regualtion,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Unit Sulfur,6B,3d,Unit of measurement specified by the most stringent sulfur dioxide regulation,See Reference Table 10,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Period Sulfur,6B,3e,The time period specified by the most stringent sulfur dioxide regulation,See Reference Table 11,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Compliance Year Sulfur,6B,4,"Year boiler was or is expected to be in compliance with federal, state and/or local regulations for sulfur dioxide emissions",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Sulfur Dioxide Control Existing Strategy 1,6B,5a,Existing strategy to comply with the most stringent sulfur dioxide regulation,See Reference Table 12,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Sulfur Dioxide Control Existing Strategy 2,6B,5a,Existing strategy to comply with the most stringent sulfur dioxide regulation,See Reference Table 12,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Sulfur Dioxide Control Existing Strategy 3,6B,5a,Existing strategy to comply with the most stringent sulfur dioxide regulation,See Reference Table 12,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Sulfur Dioxide Control Proposed Strategy 1,6B,5b,Proposed strategy to comply with the most stringent sulfur dioxide regulation,See Reference Table 12,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Sulfur Dioxide Control Proposed Strategy 2,6B,5b,Proposed strategy to comply with the most stringent sulfur dioxide regulation,See Reference Table 12,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Sulfur Dioxide Control Proposed Strategy 3,6B,5b,Proposed strategy to comply with the most stringent sulfur dioxide regulation,See Reference Table 12,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Regulation Nitrogen,6B,6a,Most stringent type of statute or regulation code under which the boiler is operating for nitrogen oxide control standards,FD = Federal ST = State LO = Local NA = Unvavailable or Unknown,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Standard Nitrogen Rate,6B,6b,Numeric value for the unit of measurement specified by the most stringent nitrogen oxide regulation,"Unit of measurement specified by field ""Unit Nitrogen""",,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Unit Nitrogen,6B,6c,Unit of measurement specified by the most stringent sulfur dioxide regulation,See Reference Table 13,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Period Nitrogen,6B,6d,The time period specified by the most stringent nitrogen oxide regulation,See Reference Table 11,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Compliance Year Nitrogen,6B,7,"Year boiler was or is expected to be in compliance with federal, state and/or local regulations for nitrogen oxide emissions",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nitrogen Oxide Control Existing Strategy 1,6B,8a,Existing strategy to comply with the most stringent nitrogen oxide regulation,See Reference Table 14,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nitrogen Oxide Control Existing Strategy 2,6B,8a,Existing strategy to comply with the most stringent nitrogen oxide regulation,See Reference Table 14,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nitrogen Oxide Control Existing Strategy 3,6B,8a,Existing strategy to comply with the most stringent nitrogen oxide regulation,See Reference Table 14,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nitrogen Oxide Control Proposed Strategy 1,6B,8b,Proposed strategy to comply with the most stringent nitrogen oxide regulation,See Reference Table 14,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nitrogen Oxide Control Proposed Strategy 2,6B,8b,Proposed strategy to comply with the most stringent nitrogen oxide regulation,See Reference Table 14,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nitrogen Oxide Control Proposed Strategy 3,6B,8b,Proposed strategy to comply with the most stringent nitrogen oxide regulation,See Reference Table 14,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Regulation Particulate,6B,9a,Most stringent type of statute or regulation code under which the boiler is operating for particulate matter control standards,FD = Federal ST = State LO = Local NA = Unvavailable or Unknown,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Standard Particulate Rate,6B,9b,Numeric value for the unit of measurement specified by the most stringent particulate matter regulation,"Unit of measurement specified by field ""Unit Particulate""",,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Unit Particulate,6B,9c,Unit of measurement specified by the most stringent particulate matter regulation,See Reference Table 15,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Period Particulate,6B,9d,The time period specified by the most stringent particulate matter regulation,See Reference Table 11,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Compliance Year Particulate,6B,10,"Year boiler was or is expected to be in compliance with federal, state and/or local regulations for particulate matter emissions",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Regulation Mercury,6B,11,Most stringent type of statute or regulation code under which the boiler is operating for mercury control standards,FD = Federal ST = State LO = Local NA = Unvavailable or Unknown,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Compliance Year Mercury,6B,12,"Year boiler was or is expected to be in compliance with federal, state and/or local regulations for mercury emissions",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Mercury Control Existing Strategy 1,6B,13,Existing strategy to comply with the most stringent mercury regulation,See Reference Table 16,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Mercury Control Existing Strategy 2,6B,13,Existing strategy to comply with the most stringent mercury regulation,See Reference Table 16,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Mercury Control Existing Strategy 3,6B,13,Existing strategy to comply with the most stringent mercury regulation,See Reference Table 16,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Mercury Control Proposed Strategy 1,6B,14,Proposed strategy to comply with the most stringent mercury regulation,See Reference Table 16,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Mercury Control Proposed Strategy 2,6B,14,Proposed strategy to comply with the most stringent mercury regulation,See Reference Table 16,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
