field_name,form_eia-860_schedule,form_eia-860_line_number,description,notes,utility,plant,generator___operable,generator___proposed,generator___retired_and_canceled,wind___operable,wind___retired_and_canceled,solar___operable,solar___retired_and_canceled,energy_storage___operable,energy_storage___proposed,energy_storage___retired_and_canceled,multifuel___operable,multifuel___proposed,multifuel___retired_and_canceled,ownership,enviroassoc___boiler_generator,enviroassoc___boiler_cooling,enviroassoc___boiler_particulate_matter,enviroassoc___boiler_so2,enviroassoc___boiler_nox,enviroassoc___boiler_mercury,enviroassoc___boiler_stack_flue,enviroassoc___emissions_control_equipment,enviroequip___emission_standards_&_strategies,enviroequip___boiler_info_&_design_parameters,enviroequip___cooling,enviroequip___fgp,enviroequip___fgd,enviroequip___stackflue
Cost Total (Thousand Dollars),6D,18,Actual installed cost for the existing system or the anticipated cost to bring the total system into commercial operation (thousands dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Cost Ponds (Thousand Dollars),6D,19,Actual installed cost for the existing cooling ponds or the anticipated cost to bring the cooling ponds into commercial operation (thousands dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Cost Towers (Thousand Dollars),6D,20,Actual installed cost for the existing cooling towers or the anticipated cost to bring the cooling towers into commercial operation (thousands dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Cost Chlorine Equipment (Thousand Dollars),6D,21,Actual installed cost for the existing chlorine discharge control system or the anticipated cost to bring the chlorine discharge control system into commercial operation (thousands dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Intake Distance Shore (Feet),6D,22a,Maximum distance from shore to intake (in feet),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Outlet Distance Shore (Feet),6D,22b,Maximum distance from shore to outlet (in feet),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Intake Distance Surface (Feet),6D,23a,Average distance below water surface to intake (in feet),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Outlet Distance Surface (Feet),6D,23b,Average distance below water surface to outlet (in feet),,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Collector Type 1,6E,2,Type of particulate matter control equipment,See Reference Table 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Collector Type 2,6E,2,Type of particulate matter control equipment,See Reference Table 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Collector Type 3,6E,2,Type of particulate matter control equipment,See Reference Table 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Fuel Specification Ash Coal,6E,3,Design fuel specifications for ash when burning coal or petroleum coke (nearest 0.1 percent by weight),,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Fuel Specification Ash Petroleum,6E,4,Design fuel specifications for ash when burning petroleum liquids (nearest 0.1 percent by weight),,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Fuel Specification Sulfur Coal,6E,5,Design fuel specifications for sulfur when burning coal or petroleum coke (nearest 0.1 percent by weight),,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Fuel Specification Sulfur Petroleum,6E,6,Design fuel specifications for sulfur when burning petroleum liquids (nearest 0.1 percent by weight),,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Collection Efficiency,6E,7,Collection efficiency at 100 percent generator load (nearest 0.1 percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Emission Rate (Pounds per Hour),6E,8,Design particulate emission rate at 100 percent generator load (pounds per hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Gas Exit Rate (Cubic Feet per Minute),6E,9,Particulate collector gas exit rate at 100 percent generator load (actual cubic feet per minute),,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Gas Exit Temperature (Fahrenheit),6E,10,Particulate collector gas exit temperature at 100 percent generator load (degrees fahrenheit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
SO2 Type 1,6F,2,Type of sulfur dioxide control equipment,See Reference Table 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
SO2 Type 2,6F,2,Type of sulfur dioxide control equipment,See Reference Table 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
SO2 Type 3,6F,2,Type of sulfur dioxide control equipment,See Reference Table 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
SO2 Type 4,6F,2,Type of sulfur dioxide control equipment,See Reference Table 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Sorbent Type 1,6F,3,Type of sorbent used by this sulfur dioxide control equipment,See Reference Table 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Sorbent Type 2,6F,3,Type of sorbent used by this sulfur dioxide control equipment,See Reference Table 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Sorbent Type 3,6F,3,Type of sorbent used by this sulfur dioxide control equipment,See Reference Table 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Sorbent Type 4,6F,3,Type of sorbent used by this sulfur dioxide control equipment,See Reference Table 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Byproduct Recovery?,6F,4,Indicates whether there is any salable byproduct recovery,Yes / No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Pond Landfill Requirements (Acre Foot per Year),6F,5,Annual pond and land fill requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Sludge Pond,6F,6a,Indicates if there is a sludge pond associated with this unit,Yes / No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Sludge Pond Lined,6F,6b,Indicates whether the sludge pond is lined,Yes / No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Flue Gas Bypass FGD?,6F,7,Indicates whether flue gas can bypass flue gas desulfurization unit,Yes / No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Specifications of Coal Ash,6F,8,Design fuel specifications for ash when burning coal or petroleum coke (nearest 0.1 percent by weight),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Specifications of Coal Sulfur,6F,9,Design fuel specifications for sulfur when burning coal or petroleum coke (nearest 0.1 percent by weight),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
FGD Trains Total,6F,10,Total number of flue gas desulfurization unit scrubber trains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
FGD Trains 100%,6F,11,Total number of flue gas desulfurization unit scrubber trains operated at 100 percent load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Removal Efficiency of Sulfur,6F,12,Desgin removal efficiency for sulfur dioxide when operating at 100 percent load (nearest 0.1 percent by weigh of gases removed from the flue gas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Sulfur Emission Rate (Pounds per Hour),6F,13,Sulfur dioxide emission rate when operating at 100 percent load (pounds per hour),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Flue Gas Exit Rate (Cubic Feet per Minute),6F,14,Flue gas exit rate when operating at 100 percent load (actual cubic feet per minute),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Flue Gas Exit Temperature (Fahrenheit),6F,15,Flue gas exit temperature when operating at 100 percent load (degrees Fahrenheit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Flue Gas Entering FGD (Percent of Total),6F,16,Percentage of flue gas entering flue gas desulfurization unit when operating at 100 percent load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Cost Structure (Thousand Dollars),6F,17,Actual installed costs for the existing flue gas desulfurizaton unit structures and equipment or the anticipated costs of structures and equipment to bring a planned unit into commercial operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Cost Disposal (Thousand Dollars),6F,18,Actual installed costs for the existing sludge transport and disposal systems or the anticipated costs of sludge transport and disposal systems to bring a planned system into commercial operation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Cost Other (Thousand Dollars),6F,19,Other actual installed costs for installation of a flue gas desulfurization unit or the anticipated other costs pertaining to the installation of a flue gas desulfurization unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Cost Total (Thousand Dollars),6F,20,Total actual installed costs for the existing flue gas desulfurization unit or the anticipated costs to bring a planned flue gas desulfurization unit into commercial operation,"This is the sum of Schedule 6F, Lines 17, 18, and 19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Inservice Month,6G,2,The actual or projected in-service month of this stack or flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Inservice Year,6G,2,The actual or projected in-service year of this stack or flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Stack Flue Status,6G,3,Stack or flue status,See Reference Table 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Stack Height (Feet),6G,4,Stack's height at the top,Measured from the ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Area at Top (Square Feet),6G,5,Cross-sectional area at top of the stack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Exit Rate 100% (Cubic Feet per Minute),6G,6,Design flue gas exit rate at 100 percent load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Exit Rate 50% (Cubic Feet per Minute),6G,7,Design flue gas exit rate at 50 percent load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Exit Temperature 100% (Fahrenheit),6G,8,Design flue gas exit temperature at 100 percent load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Exit Temperature 50% (Fahrenheit),6G,9,Design flue gas exit temperature at 50 percent load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Exit Velocity 100% (Feet per Second),6G,10,Design flue gas exit velocity at 100 percent load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Exit Velocity 100% (Feet per Second),6G,11,Design flue gas exit velocity at 50 percent load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Exit Temperature Summer (Fahrenheit),6G,12,"Average flue gas exit temperatures based on the arithmetic mean of measurements during operating hours of June, July, and August",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Exit Temperature Winter (Fahrenheit),6G,13,"Average flue gas exit temperatures based on the arithmetic mean of measurements during operating hours of January, February, and December","For reporting year 2013, the December 2012 exit temperature is used in the calculation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Exit Temperature Measured or Estimated?,6G,14,Indicates whether the average flue gas exit temperature was measured or estimated,E = Estimated M= Measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Steam Plant Type,2,7,Steam Plant Type,"1 = Plants with combustible-fueled steam-electric generators with a sum of 100 MW or more steam-electric nameplate capacity (including combined cycle steam-electric generators with duct firing). 2 = Plants with combustible-fueled steam-electric generators with a sum of 10 MW or more but less than 100 MW steam-electric nameplate capacity (including combined cycle steam-electric generators with duct firing). 3 = Plants with nuclear fueled generators, combined cycle steam-electric generators without duct firing and solar thermal electric generators using a steam cycle with a sum of 100 MW or more steam-electric nameplate capacity. 4 = Plants with non-steam fueled electric generators (wind, PV, geothermal, fuel cell, combustion turbines, IC engines, etc.) and electric generators not meeting conditions of categories above.",,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x
