station_id,state,state_name,station_name,place_name,latitude,longitude,coordinate_source,geometry_precision,monitoring_year_start,monitoring_year_end,years_with_data_count,approved_sample_count,approved_dose_reading_count,dose_equivalent_rate_avg_nsvh,dose_equivalent_rate_p95_nsvh,dose_equivalent_rate_max_nsvh,gamma_count_rate_total_avg_cpm,background_radiation_band,dominant_radiation_profile,source_dataset
radnet-sd-rapid_city,SD,South Dakota,Rapid City,Rapid City,44.071071,-103.217924,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,16,114496,35559,77.5,112,323,4804.66,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tn-knoxville,TN,Tennessee,Knoxville,Knoxville,35.97068,-83.94927,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2012,2025,14,99208,12309,47.12,52,104,3948.58,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tn-memphis,TN,Tennessee,Memphis,Memphis,35.109164,-89.968511,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2006,2025,19,129865,47997,59.38,74,143,4563.43,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tn-nashville,TN,Tennessee,Nashville-Davidson,Nashville-Davidson,36.1718,-86.785002,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,119632,49860,37.73,60,123,2756.01,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-amarillo,TX,Texas,Amarillo,Amarillo,35.198064,-101.833107,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,94672,19798,67.12,75,180,4472.2,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-austin,TX,Texas,Austin,Austin,30.298622,-97.754134,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,113509,58466,44.87,59,236,3242.06,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-corpus_christi,TX,Texas,Corpus Christi,Corpus Christi,27.754252,-97.173385,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,14,73146,32425,52.36,61,100,4352.19,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-dallas,TX,Texas,Dallas,Dallas,32.793333,-96.766513,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,140488,67291,40.06,45,111,3213.88,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-el_paso,TX,Texas,El Paso,El Paso,31.84778,-106.431106,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,116175,34999,79.42,91,209,5229.95,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-fort_worth,TX,Texas,Fort Worth,Fort Worth,32.781954,-97.348573,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,18,123673,34422,53.86,76,180,4129.21,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-harlingen,TX,Texas,Harlingen,Harlingen,26.191204,-97.697383,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,88633,71,0,0,0,3828.68,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-houston,TX,Texas,Houston,Houston,29.785743,-95.388806,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,146100,68821,40.3,49,129,3524.75,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-laredo,TX,Texas,Laredo,Laredo,27.560379,-99.489181,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,67918,12897,49.18,59,157,5030.59,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-lubbock,TX,Texas,Lubbock,Lubbock,33.561901,-101.888883,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2010,2025,16,110525,41105,56.07,68,170,3717.91,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-san_angelo,TX,Texas,San Angelo,San Angelo,31.441078,-100.450499,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2009,2025,17,124751,29831,50.61,70,176,3651.67,Mid background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-tx-san_antonio,TX,Texas,San Antonio,San Antonio,29.462809,-98.524635,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2008,2025,18,131261,68879,37.83,43,197,2784.18,Lower background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
radnet-ut-salt_lake_city,UT,Utah,Salt Lake City,Salt Lake City,40.776928,-111.930991,Census Gazetteer 2024 place centroid matched to EPA RadNet station city,place_centroid,2007,2025,19,126681,51104,65.57,83,171,4013.7,Higher background gamma,Ambient gamma exposure monitor,EPA RadNet near-real-time air monitor archives
