state,state_name,place_name,census_name,geoid,population_2024,latitude,longitude,coordinate_source,geometry_precision,matched_town_hall_rows_with_coordinates,population_per_town_hall,land_area_sqmi,water_area_sqmi,match_status,source_population_dataset,source_coordinate_dataset,dominant_people_profile,town_hall_name,town_hall_address,town_hall_locality,town_hall_latitude,town_hall_longitude
TX,Texas,South Mountain,South Mountain town,4869120,410,31.439827,-97.679265,census_place_centroid,point,0,,1.613,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,South Padre Island,South Padre Island town,4869140,2076,26.118489,-97.169884,town_hall,point,3,692.00,2.689,1.048,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,South Padre Island Town,4601 Padre Blvd,"South Padre Island, TX 78597",26.118489,-97.169884
TX,Texas,Southlake,Southlake city,4869032,31500,32.954493,-97.148867,census_place_centroid,point,0,,21.836,0.593,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Southmayd,Southmayd city,4869104,1093,33.623061,-96.708206,census_place_centroid,point,0,,2.819,0.004,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Southside Place,Southside Place city,4869272,1908,29.708686,-95.435483,census_place_centroid,point,0,,0.249,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Spearman,Spearman city,4869476,2994,36.198523,-101.191712,town_hall,point,3,998.00,2.104,0.,town_hall_coordinate_match,Census Population Estimates 2024,US_Town_Halls,Town hall anchored municipality,Spearman City Hall,30 SW Court St,"Spearman, TX 79081",36.198523,-101.191712
TX,Texas,Splendora,Splendora city,4869548,2063,30.228386,-95.162354,census_place_centroid,point,0,,3.04,0.028,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Spofford,Spofford city,4869560,44,29.173124,-100.411255,census_place_centroid,point,0,,0.24,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Spring Branch,Spring Branch city,4869608,254,29.876313,-98.408543,census_place_centroid,point,0,,2.047,0.011,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Spring Valley Village,Spring Valley Village city,4869830,4394,29.789761,-95.504026,census_place_centroid,point,0,,1.215,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
TX,Texas,Springlake,Springlake town,4869764,141,34.231621,-102.305734,census_place_centroid,point,0,,1.028,0.,census_centroid_fallback,Census Population Estimates 2024,Census Gazetteer 2024,Census centroid municipality,,,,,
